Name,MapDate,DSCI
Texas,20060207,294
Texas,20060214,299
Texas,20060221,304
Texas,20060228,316
Texas,20060307,317
Texas,20060314,335
Texas,20060321,306
Texas,20060328,292
Texas,20060404,284
Texas,20060411,285
Texas,20060418,299
Texas,20060425,287
Texas,20060502,273
Texas,20060509,206
Texas,20060516,198
Texas,20060523,211
Texas,20060530,237
Texas,20060606,256
Texas,20060613,280
Texas,20060620,277
Texas,20060627,275
Texas,20060704,270
Texas,20060711,262
Texas,20060718,276
Texas,20060725,294
Texas,20060801,294
Texas,20060808,296
Texas,20060815,302
Texas,20060822,307
Texas,20060829,300
Texas,20060905,258
Texas,20060912,247
Texas,20060919,194
Texas,20060926,194
Texas,20061003,195
Texas,20061010,198
Texas,20061017,173
Texas,20061024,168
Texas,20061031,165
Texas,20061107,161
Texas,20061114,161
Texas,20061121,167
Texas,20061128,184
Texas,20061205,188
Texas,20061212,188
Texas,20061219,194
Texas,20061226,192
Texas,20070102,190
Texas,20070109,178
Texas,20070116,161
Texas,20070123,128
Texas,20070130,119
Texas,20070206,119
Texas,20070213,119
Texas,20070220,118
Texas,20070227,118
Texas,20070306,125
Texas,20070313,112
Texas,20070320,111
Texas,20070327,87
Texas,20070403,19
Texas,20070410,17
Texas,20070417,16
Texas,20070424,16
Texas,20070501,7
Texas,20070508,4
Texas,20070515,4
Texas,20070522,4
Texas,20070529,3
Texas,20070605,3
Texas,20070612,3
Texas,20070619,2
Texas,20070626,1
Texas,20070703,1
Texas,20070710,1
Texas,20070717,0
Texas,20070724,0
Texas,20070731,0
Texas,20070807,0
Texas,20070814,0
Texas,20070821,2
Texas,20070828,2
Texas,20070904,2
Texas,20070911,2
Texas,20070918,2
Texas,20070925,2
Texas,20071002,2
Texas,20071009,4
Texas,20071016,5
Texas,20071023,5
Texas,20071030,7
Texas,20071106,21
Texas,20071113,49
Texas,20071120,75
Texas,20071127,40
Texas,20071204,64
Texas,20071211,58
Texas,20071218,39
Texas,20071225,39
Texas,20080101,60
Texas,20080108,81
Texas,20080115,98
Texas,20080122,92
Texas,20080129,101
Texas,20080205,118
Texas,20080212,137
Texas,20080219,129
Texas,20080226,137
Texas,20080304,147
Texas,20080311,135
Texas,20080318,146
Texas,20080325,126
Texas,20080401,126
Texas,20080408,143
Texas,20080415,141
Texas,20080422,139
Texas,20080429,153
Texas,20080506,128
Texas,20080513,121
Texas,20080520,117
Texas,20080527,128
Texas,20080603,137
Texas,20080610,184
Texas,20080617,254
Texas,20080624,245
Texas,20080701,231
Texas,20080708,224
Texas,20080715,216
Texas,20080722,220
Texas,20080729,213
Texas,20080805,209
Texas,20080812,198
Texas,20080819,138
Texas,20080826,103
Texas,20080902,97
Texas,20080909,85
Texas,20080916,63
Texas,20080923,66
Texas,20080930,66
Texas,20081007,68
Texas,20081014,63
Texas,20081021,63
Texas,20081028,81
Texas,20081104,93
Texas,20081111,85
Texas,20081118,83
Texas,20081125,88
Texas,20081202,94
Texas,20081209,98
Texas,20081216,100
Texas,20081223,105
Texas,20081230,105
Texas,20090106,111
Texas,20090113,154
Texas,20090120,161
Texas,20090127,209
Texas,20090203,231
Texas,20090210,238
Texas,20090217,229
Texas,20090224,234
Texas,20090303,250
Texas,20090310,262
Texas,20090317,242
Texas,20090324,253
Texas,20090331,254
Texas,20090407,258
Texas,20090414,240
Texas,20090421,218
Texas,20090428,204
Texas,20090505,196
Texas,20090512,196
Texas,20090519,185
Texas,20090526,170
Texas,20090602,159
Texas,20090609,171
Texas,20090616,171
Texas,20090623,157
Texas,20090630,169
Texas,20090707,167
Texas,20090714,181
Texas,20090721,177
Texas,20090728,173
Texas,20090804,156
Texas,20090811,156
Texas,20090818,159
Texas,20090825,162
Texas,20090901,160
Texas,20090908,154
Texas,20090915,114
Texas,20090922,108
Texas,20090929,101
Texas,20091006,79
Texas,20091013,73
Texas,20091020,78
Texas,20091027,55
Texas,20091103,53
Texas,20091110,53
Texas,20091117,53
Texas,20091124,58
Texas,20091201,55
Texas,20091208,47
Texas,20091215,41
Texas,20091222,38
Texas,20091229,36
Texas,20100105,36
Texas,20100112,36
Texas,20100119,34
Texas,20100126,33
Texas,20100202,21
Texas,20100209,8
Texas,20100216,7
Texas,20100223,6
Texas,20100302,4
Texas,20100309,3
Texas,20100316,3
Texas,20100323,3
Texas,20100330,3
Texas,20100406,4
Texas,20100413,4
Texas,20100420,3
Texas,20100427,3
Texas,20100504,11
Texas,20100511,20
Texas,20100518,13
Texas,20100525,19
Texas,20100601,37
Texas,20100608,30
Texas,20100615,18
Texas,20100622,61
Texas,20100629,47
Texas,20100706,26
Texas,20100713,26
Texas,20100720,26
Texas,20100727,14
Texas,20100803,13
Texas,20100810,12
Texas,20100817,20
Texas,20100824,31
Texas,20100831,61
Texas,20100907,37
Texas,20100914,26
Texas,20100921,27
Texas,20100928,28
Texas,20101005,28
Texas,20101012,33
Texas,20101019,57
Texas,20101026,66
Texas,20101102,74
Texas,20101109,75
Texas,20101116,86
Texas,20101123,87
Texas,20101130,118
Texas,20101207,169
Texas,20101214,177
Texas,20101221,208
Texas,20101228,209
Texas,20110104,202
Texas,20110111,174
Texas,20110118,161
Texas,20110125,174
Texas,20110201,176
Texas,20110208,187
Texas,20110215,191
Texas,20110222,223
Texas,20110301,227
Texas,20110308,237
Texas,20110315,255
Texas,20110322,283
Texas,20110329,316
Texas,20110405,349
Texas,20110412,355
Texas,20110419,374
Texas,20110426,383
Texas,20110503,393
Texas,20110510,421
Texas,20110517,417
Texas,20110524,408
Texas,20110531,417
Texas,20110607,432
Texas,20110614,443
Texas,20110621,449
Texas,20110628,450
Texas,20110705,449
Texas,20110712,456
Texas,20110719,461
Texas,20110726,464
Texas,20110802,463
Texas,20110809,470
Texas,20110816,465
Texas,20110823,471
Texas,20110830,475
Texas,20110906,476
Texas,20110913,484
Texas,20110920,481
Texas,20110927,482
Texas,20111004,484
Texas,20111011,464
Texas,20111018,463
Texas,20111025,459
Texas,20111101,454
Texas,20111108,454
Texas,20111115,451
Texas,20111122,447
Texas,20111129,430
Texas,20111206,410
Texas,20111213,408
Texas,20111220,391
Texas,20111227,382
Texas,20120103,382
Texas,20120110,365
Texas,20120117,365
Texas,20120124,365
Texas,20120131,354
Texas,20120207,341
Texas,20120214,334
Texas,20120221,299
Texas,20120228,300
Texas,20120306,314
Texas,20120313,307
Texas,20120320,282
