name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
texas,2018-05-17,35.6,20.9,28.7,36.2,20.9,29,17,51.9,0,0,0,,0,0,32,10.3,155.8,1010.2,6.7,15.8,251.4,21.7,9,,2018-05-17T06:35:49,2018-05-17T20:19:17,0.08,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-05-18,34.4,22.4,28,35.4,22.4,28.4,18.5,59.4,0,0,0,,0,0,43.2,18.4,166.6,1008.1,23.9,15.9,245,21.3,9,,2018-05-18T06:35:15,2018-05-18T20:19:55,0.11,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-05-19,33.6,23.3,27.7,34.9,23.3,28.3,19.4,63.4,0,0,0,,0,0,52.2,24.2,153.3,1009.4,58.8,15.6,195.2,16.9,8,,2018-05-19T06:34:43,2018-05-19T20:20:33,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-05-20,27.5,20.7,23.8,30.5,20.7,24.1,20.9,83.9,18.052,100,20.83,rain,0,0,44.4,23.4,114.2,1014.1,70.2,15.9,97.3,8.4,6,,2018-05-20T06:34:12,2018-05-20T20:21:10,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-05-21,29.2,20.7,23.6,30.8,20.7,23.9,19.9,80.8,0.667,100,4.17,rain,0,0,38.9,20.1,81.2,1014.5,61.9,15.4,213.7,18.3,7,,2018-05-21T06:33:42,2018-05-21T20:21:47,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
texas,2018-05-22,30.8,21.6,26,32.7,21.6,26.7,19.9,71.4,0,0,0,,0,0,32.4,15.8,128.6,1014.1,55.2,15.3,254.6,21.9,8,,2018-05-22T06:33:14,2018-05-22T20:22:24,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
texas,2018-05-23,31.7,21.8,26,33.3,21.8,26.7,20.1,71.8,1.311,100,4.17,rain,0,0,42.5,20.5,109.8,1015.1,52.5,15.5,246.9,21.5,8,,2018-05-23T06:32:46,2018-05-23T20:23:01,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
texas,2018-05-24,33.1,22.2,27.1,34.8,22.2,28.2,20.5,69.4,0,0,0,,0,0,25.9,15.7,127.2,1016.1,46.4,15.6,240.2,20.8,8,,2018-05-24T06:32:21,2018-05-24T20:23:37,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-05-25,34.2,23.3,28.5,36.2,23.3,29.7,20.8,66,0,0,0,,0,0,30.6,14.3,160.2,1013,30,15.9,256.6,22.2,9,,2018-05-25T06:31:57,2018-05-25T20:24:13,0.36,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-05-26,36.3,23.5,29.9,38.8,23.5,31.5,20.3,58.6,0,0,0,,0,0,32,15.6,177.4,1008.6,11,16,255.6,21.9,9,,2018-05-26T06:31:34,2018-05-26T20:24:48,0.4,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-05-27,35.5,23,29.5,37.8,23,30.8,19.9,58.7,0,0,0,,0,0,35.3,13.8,147.9,1008.1,9.7,16,250,21.6,9,,2018-05-27T06:31:12,2018-05-27T20:25:23,0.43,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-05-28,34.7,22.6,29.3,36.5,22.6,30.6,19.8,58.9,0,0,0,,0,0,32.8,14.3,127.3,1008.3,9.4,16,242.3,20.9,9,,2018-05-28T06:30:52,2018-05-28T20:25:57,0.47,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-05-29,35.8,22.5,29.4,37.3,22.5,30.6,19.6,58.4,0,0,0,,0,0,32.8,15.2,171.8,1006.7,4.3,16,256,22.1,9,,2018-05-29T06:30:34,2018-05-29T20:26:31,0.5,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-05-30,35.6,23.4,29,37.9,23.4,30.4,20.4,62.3,0,0,0,,0,0,44,27.7,168,1007,24.2,16,259.2,22.1,9,,2018-05-30T06:30:17,2018-05-30T20:27:04,0.54,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-05-31,36.6,24.6,29.6,39.9,24.6,31.1,21,63.1,0,0,0,,0,0,45.7,20.2,175.8,1008.9,44,16,253.4,22,9,,2018-05-31T06:30:01,2018-05-31T20:27:37,0.57,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-06-01,36.6,24.9,30,39.6,24.9,31.7,21.2,62.1,0,0,0,,0,0,40.7,18.8,177,1010.4,45.4,15.1,246.4,21.4,9,,2018-06-01T06:29:47,2018-06-01T20:28:09,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-06-02,37.5,24.8,30.6,40.7,24.8,32.5,21.3,60.7,0,0,0,,0,0,43.6,16.6,187.3,1010.9,36,15.7,258,22.3,9,,2018-06-02T06:29:34,2018-06-02T20:28:40,0.64,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-06-03,36.5,24.8,30.3,40.4,24.8,32.9,22,63.7,0,0,0,,0,0,32.4,14.3,141.4,1014.4,44.9,15.9,245.5,21.4,8,,2018-06-03T06:29:22,2018-06-03T20:29:10,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-06-04,31.6,22.2,26.5,34,22.2,27.6,20.1,69.3,23.395,100,16.67,rain,0,0,45.7,19.2,7.4,1014.4,37.4,15.2,140.9,12,5,,2018-06-04T06:29:12,2018-06-04T20:29:40,0.7,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-06-05,36.9,23.7,29.9,39.2,23.7,31.3,20.7,61.5,0,0,0,,0,0,41.8,14.5,178.7,1009.9,23.3,16,254.3,21.9,8,,2018-06-05T06:29:04,2018-06-05T20:30:09,0.73,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-06-06,36.7,25.1,30.4,39.4,25.1,32.2,21.1,60.5,0,0,0,,0,0,36.7,21.5,162.3,1009.2,28.7,16,260.2,22.6,9,,2018-06-06T06:28:57,2018-06-06T20:30:38,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-06-07,36.2,24.5,30,37.7,24.5,31.4,20.6,60.5,0,0,0,,0,0,39.2,18.7,156.8,1012.1,35,15.9,247.7,21.3,8,,2018-06-07T06:28:51,2018-06-07T20:31:05,0.8,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-06-08,35.1,23.7,29.3,36.3,23.7,30.4,20.4,62,0,0,0,,0,0,35.6,18,161.9,1015.5,43.4,15.9,246,21.1,8,,2018-06-08T06:28:46,2018-06-08T20:31:32,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-06-09,34.2,24.5,28.2,36,24.5,29.6,21.4,68.7,0.43,100,8.33,rain,0,0,49.9,21.6,165.2,1015.5,58.4,15.6,193.7,16.8,8,,2018-06-09T06:28:43,2018-06-09T20:31:58,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
texas,2018-06-10,36.9,25.2,30.1,38.5,25.2,31.4,21,62.2,0,0,0,,0,0,45.7,22.7,172.6,1011.4,51.7,15.5,254.9,21.9,8,,2018-06-10T06:28:42,2018-06-10T20:32:23,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
