#  Harris County, Texas Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1992-2020
# Missing: -99
Date,Value,Anomaly
201408,84.3,-0.1
201409,80.0,0.1
201410,72.6,1.4
201411,57.3,-4.6
201412,57.0,2.0
201501,49.8,-3.8
201502,53.2,-4.2
201503,62.0,-1.3
201504,72.0,2.9
201505,76.6,0.3
201506,81.7,-0.3
201507,85.3,1.2
201508,84.5,0.1
201509,79.8,-0.1
201510,73.1,1.9
201511,64.1,2.2
201512,59.7,4.7
201601,52.6,-1.0
201602,59.5,2.1
201603,66.3,3.0
201604,70.0,0.9
201605,75.2,-1.1
201606,82.0,0.0
201607,86.2,2.1
201608,84.2,-0.2
201609,82.4,2.5
201610,74.9,3.7
201611,67.2,5.3
201612,58.7,3.7
201701,59.9,6.3
201702,66.1,8.7
201703,68.1,4.8
201704,71.2,2.1
201705,75.4,-0.9
201706,81.6,-0.4
201707,85.2,1.1
201708,83.8,-0.6
201709,79.9,0.0
201710,71.9,0.7
201711,67.1,5.2
201712,53.3,-1.7
201801,48.2,-5.4
201802,61.9,4.5
201803,66.8,3.5
201804,66.2,-2.9
201805,79.0,2.7
201806,84.1,2.1
201807,84.8,0.7
201808,85.1,0.7
201809,80.5,0.6
201810,71.9,0.7
201811,58.3,-3.6
201812,55.5,0.5
201901,53.3,-0.3
201902,59.4,2.0
201903,61.7,-1.6
201904,68.3,-0.8
201905,77.8,1.5
201906,82.0,0.0
201907,84.1,0.0
201908,86.2,1.8
201909,83.8,3.9
201910,71.4,0.2
201911,59.2,-2.7
201912,57.0,2.0
202001,57.7,4.1
202002,56.5,-0.9
202003,70.5,7.2
202004,70.1,1.0
202005,77.0,0.7
202006,81.8,-0.2
202007,85.6,1.5
202008,85.9,1.5
202009,80.4,0.5
202010,71.6,0.4
202011,66.3,4.4
202012,55.2,0.2
